METADATOS
Ancho_original,4753
Alto_original,5821

LINEA,ESTACION,COORD_X,COORD_Y
1,observatorio,541,3355
1,tacubaya,816,3282
1,juanacatlan,913,3039
1,chapultepec,1042,2861
1,sevilla,1148,2829
1,insurgentes,1358,2773
1,cuauhtemoc,1568,2716
1,balderas,1673,2700
1,salto_del_agua,1827,2700
1,isabel_la_catolica,1932,2708
1,pino_suarez,2021,2724
1,merced,2199,2708
1,candelaria,2336,2676
1,san_lazaro,2441,2627
1,moctezuma,2562,2708
1,balbuena,2724,2805
1,blvd_puerto_aereo,2853,2886
1,gomez_farias,2999,2967
1,zaragoza,3177,3064
1,pantitlan,3379,2983
2,cuatro_caminos,210,1891
2,panteones,444,1907
2,tacuba,743,1916
2,cuitlahuac,978,1988
2,popotla,1091,2077
2,colegio_militar,1196,2182
2,normal,1293,2296
2,san_cosme,1447,2360
2,revolucion,1584,2409
2,hidalgo,1722,2449
2,bellas_artes,1867,2482
2,allende,1964,2498
2,zocalo_tenochtitlan,2045,2570
2,pino_suarez,2021,2724
2,san_antonio_abad,1988,2959
2,chabacano,1964,3144
2,viaducto,1924,3322
2,xola,1916,3468
2,villa_de_cortes,1891,3646
2,nativitas,1859,3824
2,portales,1835,4074
2,ermita,1794,4260
2,general_anaya,1746,4462
2,tasquena,1819,4664
3,indios_verdes,2336,1075
3,deportivo_18_de_marzo,2182,1333
3,potrero,2069,1479
3,la_raza,1940,1641
3,tlatelolco,1786,2029
3,guerrero,1754,2263
3,hidalgo,1730,2449
3,juarez,1705,2546
3,balderas,1665,2692
3,ninos_heroes,1641,2894
3,hospital_general,1560,3047
3,centro_medico,1536,3185
3,etiopia_plaza_de_la_transparencia,1511,3444
3,eugenia,1471,3694
3,division_del_norte,1430,3840
3,zapata,1293,4058
3,coyoacan,1172,4284
3,viveros_derechos_humanos,1059,4454
3,miguel_angel_de_quevedo,953,4600
3,copilco,1018,4883
3,universidad,1099,5125
4,martin_carrera,2659,1325
4,talisman,2587,1568
4,bondojito,2506,1810
4,consulado,2465,2029
4,canal_del_norte,2425,2166
4,morelos,2368,2393
4,candelaria,2328,2676
4,fray_servando,2312,2821
4,jamaica,2296,3128
4,santa_anita,2279,3225
5,pantitlan,3387,2983
5,hangares,3080,2789
5,terminal_aerea,3031,2546
5,oceania,3056,2271
5,aragon,2902,2110
5,eduardo_molina,2667,2126
5,consulado,2457,2029
5,valle_gomez,2352,1948
5,misterios,2166,1851
5,la_raza,1940,1641
5,autobuses_del_norte,1883,1455
5,instituto_del_petroleo,1754,1180
5,politecnico,1681,945
6,el_rosario,574,905
6,tezozomoc,695,1083
6,uam_azcapotzalco,840,1180
6,ferreria_arena_ciudad_de_mexico,1123,1172
6,norte_45,1414,1220
6,vallejo,1536,1172
6,instituto_del_petroleo,1762,1172
6,lindavista,2013,1245
6,deportivo_18_de_marzo,2174,1333
6,la_villa_basilica,2352,1390
6,martin_carrera,2659,1325
7,el_rosario,565,897
7,aquiles_serdan,646,1180
7,camarones,784,1455
7,refineria,768,1673
7,tacuba,743,1916
7,san_joaquin,719,2263
7,polanco,719,2538
7,auditorio,695,2724
7,constituyentes,703,3072
7,tacubaya,816,3282
7,san_pedro_de_los_pinos,840,3541
7,san_antonio,824,3702
7,mixcoac,792,3913
7,barranca_del_muerto,751,4220
8,garibaldi_lagunilla,1891,2296
8,bellas_artes,1867,2490
8,san_juan_de_letran,1843,2595
8,salto_del_agua,1819,2700
8,doctores,1794,2837
8,obrera,1778,3031
8,chabacano,1956,3136
8,la_viga,2174,3185
8,santa_anita,2296,3233
8,coyuya,2465,3395
8,iztacalco,2498,3638
8,apatlaco,2538,3832
8,aculco,2579,3993
8,escuadron_201,2554,4163
8,atlalilco,2667,4406
8,iztapalapa,2983,4349
8,cerro_de_la_estrella,3136,4430
8,uam_i,3355,4535
8,constitucion_de_1917,3597,4656
9,pantitlan,3379,2983
9,puebla,3209,3185
9,ciudad_deportiva,3023,3161
9,velodromo,2692,3161
9,mixiuhca,2465,3128
9,jamaica,2287,3120
9,chabacano,1964,3144
9,lazaro_cardenas,1770,3161
9,centro_medico,1536,3185
9,chilpancingo,1228,3185
9,patriotismo,1002,3193
9,tacubaya,816,3274
10,pantitlan,3387,2991
10,agricola_oriental,3427,3233
10,canal_de_san_juan,3702,3395
10,tepalcates,3985,3565
10,guelatao,4050,3799
10,penon_viejo,4123,4074
10,acatitla,4171,4284
10,santa_marta,4236,4519
10,los_reyes,4317,4672
10,la_paz,4438,4713
11,ciudad_azteca,4398,137
11,plaza_aragon,4325,299
11,olimpica,4244,476
11,ecatepec,4195,638
11,muzquiz,4058,945
11,rio_de_los_remedios,3977,1156
11,impulsora,3872,1390
11,nezahualcoyotl,3783,1625
11,villa_de_aragon,3662,1867
11,bosque_de_aragon,3436,1972
11,deportivo_oceania,3185,2166
11,oceania,3064,2271
11,romero_rubio,2878,2360
11,ricardo_flores_magon,2732,2441
11,san_lazaro,2441,2627
11,morelos,2368,2401
11,tepito,2223,2320
11,lagunilla,2077,2304
11,garibaldi_lagunilla,1891,2287
11,guerrero,1754,2271
11,buenavista,1608,2239
12,mixcoac,792,3921
12,insurgentes_sur,986,3969
12,hospital_20_de_noviembre,1131,4010
12,zapata,1301,4058
12,parque_de_los_venados,1495,4147
12,eje_central,1625,4252
12,ermita,1794,4268
12,mexicaltzingo,2279,4349
12,atlalilco,2659,4414
12,culhuacan,2603,4737
12,san_andres_tomatlan,2587,4955
12,lomas_estrella,2732,5101
12,calle_11,2942,5125
12,periferico_oriente,3136,5174
12,tezonco,3290,5287
12,olivos,3524,5319
12,nopalera,3710,5360
12,zapotitlan,3913,5408
12,tlaltenco,4098,5449
12,tlahuac,4204,5667
