METADATOS
Ancho_original,4753
Alto_original,5821

LINEA,ESTACION,COORD_X,COORD_Y
12,mixcoac,792,3921
12,insurgentes_sur,986,3969
12,hospital_20_de_noviembre,1131,4010
12,zapata,1301,4058
12,parque_de_los_venados,1495,4147
12,eje_central,1625,4252
12,ermita,1794,4268
12,mexicaltzingo,2279,4349
12,atlalilco,2659,4414
12,culhuacan,2603,4737
12,san_andres_tomatlan,2587,4955
12,lomas_estrella,2732,5101
12,calle_11,2942,5125
12,periferico_oriente,3136,5174
12,tezonco,3290,5287
12,olivos,3524,5319
12,nopalera,3710,5360
12,zapotitlan,3913,5408
12,tlaltenco,4098,5449
12,tlahuac,4204,5667
